,carat,cut,color,clarity,depth,table,price
0,0.23,5,E,SI2,61.5,55.0,326
1,0.21,4,E,SI1,59.8,61.0,326
2,0.23,2,E,VS1,56.9,65.0,327
3,0.29,4,I,VS2,62.4,58.0,334
4,0.31,2,J,SI2,63.3,58.0,335
5,0.24,3,J,VVS2,62.8,57.0,336
6,0.24,3,I,VVS1,62.3,57.0,336
7,0.26,3,H,SI1,61.9,55.0,337
8,0.22,1,E,VS2,65.1,61.0,337
9,0.23,3,H,VS1,59.4,61.0,338
10,0.3,2,J,SI1,64.0,55.0,339
11,0.23,5,J,VS1,62.8,56.0,340
12,0.22,4,F,SI1,60.4,61.0,342
13,0.31,5,J,SI2,62.2,54.0,344
14,0.2,4,E,SI2,60.2,62.0,345
15,0.32,4,E,I1,60.9,58.0,345
16,0.3,5,I,SI2,62.0,54.0,348
17,0.3,2,J,SI1,63.4,54.0,351
18,0.3,2,J,SI1,63.8,56.0,351
19,0.3,3,J,SI1,62.7,59.0,351
20,0.3,2,I,SI2,63.3,56.0,351
21,0.23,3,E,VS2,63.8,55.0,352
22,0.23,3,H,VS1,61.0,57.0,353
23,0.31,3,J,SI1,59.4,62.0,353
24,0.31,3,J,SI1,58.1,62.0,353
25,0.23,3,G,VVS2,60.4,58.0,354
26,0.24,4,I,VS1,62.5,57.0,355
27,0.3,3,J,VS2,62.2,57.0,357
28,0.23,3,D,VS2,60.5,61.0,357
29,0.23,3,F,VS1,60.9,57.0,357
30,0.23,3,F,VS1,60.0,57.0,402
31,0.23,3,F,VS1,59.8,57.0,402
32,0.23,3,E,VS1,60.7,59.0,402
33,0.23,3,E,VS1,59.5,58.0,402
34,0.23,3,D,VS1,61.9,58.0,402
35,0.23,2,F,VS1,58.2,59.0,402
36,0.23,2,E,VS1,64.1,59.0,402
37,0.31,2,H,SI1,64.0,54.0,402
38,0.26,3,D,VS2,60.8,59.0,403
39,0.33,5,I,SI2,61.8,55.0,403
40,0.33,5,I,SI2,61.2,56.0,403
41,0.33,5,J,SI1,61.1,56.0,403
42,0.26,2,D,VS2,65.2,56.0,403
43,0.26,2,D,VS1,58.4,63.0,403
44,0.32,2,H,SI2,63.1,56.0,403
45,0.29,4,F,SI1,62.4,58.0,403
46,0.32,3,H,SI2,61.8,55.0,403
47,0.32,2,H,SI2,63.8,56.0,403
48,0.25,3,E,VS2,63.3,60.0,404
49,0.29,3,H,SI2,60.7,60.0,404
50,0.24,3,F,SI1,60.9,61.0,404
51,0.23,5,G,VS1,61.9,54.0,404
52,0.32,5,I,SI1,60.9,55.0,404
53,0.22,4,E,VS2,61.6,58.0,404
54,0.22,4,D,VS2,59.3,62.0,404
55,0.3,5,I,SI2,61.0,59.0,405
56,0.3,4,J,SI2,59.3,61.0,405
57,0.3,3,I,SI1,62.6,57.0,405
58,0.3,3,I,SI1,63.0,57.0,405
59,0.3,2,I,SI1,63.2,55.0,405
60,0.35,5,I,VS1,60.9,57.0,552
61,0.3,4,D,SI1,62.6,59.0,552
62,0.3,5,D,SI1,62.5,57.0,552
63,0.3,5,D,SI1,62.1,56.0,552
64,0.42,4,I,SI2,61.5,59.0,552
65,0.28,5,G,VVS2,61.4,56.0,553
66,0.32,5,I,VVS1,62.0,55.3,553
67,0.31,3,G,SI1,63.3,57.0,553
68,0.31,4,G,SI1,61.8,58.0,553
69,0.24,4,E,VVS1,60.7,58.0,553
70,0.24,3,D,VVS1,61.5,60.0,553
71,0.3,3,H,SI1,63.1,56.0,554
72,0.3,4,H,SI1,62.9,59.0,554
73,0.3,4,H,SI1,62.5,57.0,554
74,0.3,2,H,SI1,63.7,57.0,554
75,0.26,3,F,VVS2,59.2,60.0,554
76,0.26,3,E,VVS2,59.9,58.0,554
77,0.26,3,D,VVS2,62.4,54.0,554
78,0.26,3,D,VVS2,62.8,60.0,554
79,0.26,3,E,VVS1,62.6,59.0,554
80,0.26,3,E,VVS1,63.4,59.0,554
81,0.26,3,D,VVS1,62.1,60.0,554
82,0.26,5,E,VVS2,62.9,58.0,554
83,0.38,5,I,SI2,61.6,56.0,554
84,0.26,2,E,VVS1,57.9,60.0,554
85,0.24,4,G,VVS1,62.3,59.0,554
86,0.24,4,H,VVS1,61.2,58.0,554
87,0.24,4,H,VVS1,60.8,59.0,554
88,0.24,4,H,VVS2,60.7,58.0,554
89,0.32,4,I,SI1,62.9,58.0,554
90,0.7,5,E,SI1,62.5,57.0,2757
91,0.86,1,E,SI2,55.1,69.0,2757
92,0.7,5,G,VS2,61.6,56.0,2757
93,0.71,3,E,VS2,62.4,57.0,2759
94,0.78,3,G,SI2,63.8,56.0,2759
95,0.7,2,E,VS2,57.5,58.0,2759
96,0.7,2,F,VS1,59.4,62.0,2759
97,0.96,1,F,SI2,66.3,62.0,2759
98,0.73,3,E,SI1,61.6,59.0,2760
99,0.8,4,H,SI1,61.5,58.0,2760
100,0.75,3,D,SI1,63.2,56.0,2760
101,0.75,4,E,SI1,59.9,54.0,2760
102,0.74,5,G,SI1,61.6,55.0,2760
103,0.75,4,G,VS2,61.7,58.0,2760
104,0.8,5,I,VS1,62.9,56.0,2760
105,0.75,5,G,SI1,62.2,55.0,2760
106,0.8,4,G,SI1,63.0,59.0,2760
107,0.74,5,I,VVS2,62.3,55.0,2761
108,0.81,5,F,SI2,58.8,57.0,2761
109,0.59,5,E,VVS2,62.0,55.0,2761
110,0.8,5,F,SI2,61.4,57.0,2761
111,0.74,5,E,SI2,62.2,56.0,2761
112,0.9,4,I,VS2,63.0,58.0,2761
113,0.74,3,G,SI1,62.2,59.0,2762
114,0.73,5,F,VS2,62.6,56.0,2762
115,0.73,5,F,VS2,62.7,53.0,2762
116,0.8,4,F,SI2,61.7,58.0,2762
117,0.71,5,G,VS2,62.4,54.0,2762
118,0.7,5,E,VS2,60.7,58.0,2762
119,0.8,5,F,SI2,59.9,59.0,2762
120,0.71,5,D,SI2,62.3,56.0,2762
121,0.74,5,E,SI1,62.3,54.0,2762
122,0.7,3,F,VS2,61.7,63.0,2762
123,0.7,1,F,VS2,64.5,57.0,2762
124,0.7,1,F,VS2,65.3,55.0,2762
125,0.7,4,F,VS2,61.6,60.0,2762
126,0.91,4,H,SI1,61.4,56.0,2763
127,0.61,3,D,VVS2,59.6,57.0,2763
128,0.91,1,H,SI2,64.4,57.0,2763
129,0.91,1,H,SI2,65.7,60.0,2763
130,0.77,5,H,VS2,62.0,56.0,2763
131,0.71,3,D,SI1,63.6,58.0,2764
132,0.71,5,D,SI1,61.9,59.0,2764
133,0.7,3,E,VS2,62.6,60.0,2765
134,0.77,3,H,VS1,61.3,60.0,2765
135,0.63,4,E,VVS1,60.9,60.0,2765
136,0.71,3,F,VS1,60.1,62.0,2765
137,0.71,4,F,VS1,61.8,59.0,2765
138,0.76,5,H,SI1,61.2,57.0,2765
139,0.64,5,G,VVS1,61.9,56.0,2766
140,0.71,4,G,VS2,60.9,57.0,2766
141,0.71,4,G,VS2,59.8,56.0,2766
142,0.7,3,D,VS2,61.8,55.0,2767
143,0.7,3,F,VS1,60.0,57.0,2767
144,0.71,5,D,SI2,61.6,55.0,2767
145,0.7,2,H,VVS2,62.1,64.0,2767
146,0.71,3,G,VS1,63.3,59.0,2768
147,0.73,3,D,SI1,60.2,56.0,2768
148,0.7,3,D,SI1,61.1,58.0,2768
149,0.7,5,E,SI1,60.9,57.0,2768
150,0.71,4,D,SI2,61.7,59.0,2768
151,0.74,5,I,SI1,61.3,56.0,2769
152,0.71,4,D,VS2,62.5,60.0,2770
153,0.73,4,G,VS2,61.4,59.0,2770
154,0.76,3,F,SI1,62.9,57.0,2770
155,0.76,5,D,SI2,62.4,57.0,2770
156,0.71,5,F,SI1,60.7,56.0,2770
157,0.73,4,G,VS2,60.7,58.0,2770
158,0.73,4,G,VS1,61.5,58.0,2770
159,0.73,5,D,SI2,59.9,57.0,2770
160,0.73,4,G,VS2,59.2,59.0,2770
161,0.72,3,H,VVS2,60.3,56.0,2771
162,0.73,3,F,SI1,61.7,60.0,2771
163,0.71,5,G,VS2,61.9,57.0,2771
164,0.79,5,F,SI2,61.9,55.0,2771
165,0.73,3,H,VVS1,60.4,59.0,2772
166,0.8,3,F,SI2,61.0,57.0,2772
167,0.58,5,G,VVS1,61.5,55.0,2772
168,0.58,5,F,VVS1,61.7,56.0,2772
169,0.71,2,E,VS2,59.2,61.0,2772
170,0.75,5,D,SI2,61.3,56.0,2773
171,0.7,4,D,VS2,58.0,62.0,2773
172,1.17,3,J,I1,60.2,61.0,2774
173,0.6,5,E,VS1,61.7,55.0,2774
174,0.7,5,E,SI1,62.7,55.0,2774
175,0.83,2,I,VS2,64.6,54.0,2774
176,0.74,3,F,VS2,61.3,61.0,2775
177,0.72,3,G,VS2,63.7,56.4,2776
178,0.71,4,E,VS2,62.7,58.0,2776
179,0.71,5,E,VS2,62.2,57.0,2776
180,0.54,5,E,VVS2,61.6,56.0,2776
181,0.54,5,E,VVS2,61.5,57.0,2776
182,0.72,5,G,SI1,61.8,56.0,2776
183,0.72,5,G,SI1,60.7,56.0,2776
184,0.72,2,G,VS2,59.7,60.5,2776
185,0.71,5,G,SI1,60.5,56.0,2776
186,0.7,3,D,VS1,62.7,58.0,2777
187,0.71,4,F,VS2,62.1,58.0,2777
188,0.71,3,F,VS2,62.8,57.0,2777
189,0.71,2,F,VS2,63.8,58.0,2777
190,0.71,2,F,VS2,57.8,60.0,2777
191,0.7,5,E,VS2,62.1,55.0,2777
192,0.7,4,E,VS2,61.1,60.0,2777
193,0.7,4,E,SI1,60.0,59.0,2777
194,0.7,4,E,SI1,61.2,57.0,2777
195,0.7,4,E,SI1,62.7,59.0,2777
196,0.7,4,E,SI1,61.0,57.0,2777
197,0.7,4,E,SI1,61.0,58.0,2777
198,0.7,5,E,SI1,61.4,57.0,2777
199,0.72,4,F,SI1,61.8,61.0,2777
